Date,Location,Pint,Number,Cost (per pint),Company,Comments,Spend,Column 1,Column 2,Column 3
06/07/2025,"La Viña, San Sebastian",San Seb Beer,0.5,£4.32,"Sachin, Laurie",,£2.16,,,
08/07/2025,"The Granary, Bristol",Wanna go to the sun pale ale,2,£6.50,"Ruby, Robbie, Tan, Rosalin, Kit, Ellen",,£13.00,,,
08/07/2025,"Bag of Nails, Bristol",Facile,3,£5.00,"Ruby, Robbie, Tan, Rosalin, Kit, Ellen",,£15.00,,,
08/07/2025,"V-shed, Bristol",Guinness ,1,£5.00,"Ruby, Robbie, Tan, Rosalin, Ellen",,£5.00,,,
09/07/2025,"The Scolt Head, De Beauvoir ",Guinness,4,£6.30,"Roisin, Martha",,£25.20,,,
10/07/2025,"By the bridge cafe, Haggerston ",Camden Hells,1,£7.88,Anna,,£7.88,,,
10/07/2025,"Signature Brew, Haggerston",Hazy Pale,2,£7.20,Anna,,£14.40,,,
11/07/2025,"Duke of York, Haggerston",Guinness,2,£6.90,Lewis K,,£13.80,,,
11/07/2025,"Duke of Wellington, Haggerston",Guinness,2,£6.30,"Lewis K, Laurie",,£12.60,,,
11/07/2025,"Duke of Wellington, Haggerston",Kronenberg 1664,2,£6.30,"Lewis K, Laurie",,£12.60,,,
11/07/2025,"Virgin Queen, Hoxton",Guinness,1,£6.20,"Martha, Alex S, Faye",,£6.20,,,
11/07/2025,"Three Colts Tavern, Bethnal Green",Skoosh,2,£5.76,"Alex S, Faye",Soft launch thruple,£11.52,,,
12/07/2025,"Mare Street Market, Kings Cross",Guinness,1,£7.35,"Robbie M, Tan, Kit",,£7.35,,,
12/07/2025,"Mare Street Market, Kings Cross",Stonewood,2,£7.60,"Robbie M, Tan, Kit",,£15.20,,,
12/07/2025,"The Windsor, Peckham",Staropramen,1,£4.70,"Laurie, Roisin, Martha",,£4.70,,,
12/07/2025,"The Windsor, Peckham",Pravha,1,£4.50,"Laurie, Roisin, Martha",,£4.50,,,
